ARIAL SDF	Fonts & Materials/ARIAL SDF		
Illness/MuckyFeet_Name	Mucky Feet		
Illness/Mummified_Description	The afflicted have been wrapped for the afterlife by their families, but were only taking a nap. There are rituals, and the initial stages of embalming, to be undone.		
Illness/Mummified_Name	Premature Mummification		
Illness/NightFever_Description	A psychiatric condition leading to spontaneous outbreaks of dancing. Caused by prolonged exposure to mirrorballs.		
Illness/NightFever_Name	Night Fever		
Illness/Pandemic_Description	Involuntary attachment to kitchen utensils, caused by extremely low levels of culinary skill. The pan must be carefully removed with a massive magnet.		
Illness/Pandemic_Name	Pandemic		Pan + Pandemic
Illness/PelvicGurning_Description	Requires surgery in an Operating Theater.		
Illness/PelvicGurning_Name	Pelvic Gurning		
Illness/PipeOrgans_Description	The internal organs are arranged in such a way that they create dramatic music when the sufferer walks. Requires surgery to rearrange the organs.		
Illness/PipeOrgans_Name	Pipe Organs		
Illness/Poisoned_Description	Health is deteriorating fast. Requires an injection.		
Illness/Poisoned_Name	Poisoned		
Illness/Portishead_Description	Portishead affects both body and mind. Once thought to be caused by proximity to sea air, it’s now known to be chiefly caused by living in Portishead.		
Illness/Portishead_Name	Portishead		"Portishead" is both a town and a famous band. Very British reference, will very likely need to be fully adapted in the translations.
Illness/PottyMouth_Description	When the patient opens their mouth, terrible things happen. Caused by drinking water from a toilet sink, or a toilet.		
Illness/PottyMouth_Name	Potty Mouth		From "being a potty mouth" (https://dictionary.cambridge.org/dictionary/english/potty-mouth), "potty" also meaning toilet in children slang.
Illness/Promo/FM_DrawingBoard_Description	Musings on the answer to football.		
Illness/Promo/FM_DrawingBoard_Name	Tactics Board		
Illness/Promo/Va_HeadCrab_Description	The sufferer's head has been seized by a rare form of parasitic crustacean. Fortunately, a treatment is available that wrenches the creature from the victim, leaving their head healthy and uninfested.		
Illness/Promo/Va_HeadCrab_Name	Headcrabedness		This is a special, promotional illness, a variation from lightheadedness. The patients have a Headcrab head from Half-Life (with licence from Valve).
Illness/PuddingBlood_Description	A skin condition caused by dessert escaping into the blood stream. An anti-pudding gel must be injected into the patient.		
Illness/PuddingBlood_Name	Pudding Blood		
Illness/QueenComplex_Description	Patients believe themselves to be one of the greatest rockstars the world has ever seen, but are sadly ga ga.		
Illness/QueenComplex_Name	Mock Star		Mock + Rockstar
Illness/RockBottom_Description	Petrification of the backside, making it appear weathered and grey. Caused by low quality chairs.		
Illness/RockBottom_Name	Rock Bottom		From "rock bottom," with "bottom" also meaning "buttocks."\n\nhttps://dictionary.cambridge.org/dictionary/english/rock-bottom
Illness/RupturedHelix_Description	A genetic condition.		
Illness/RupturedHelix_Name	Ruptured Helix		
Illness/SeveredArmpits_Description	Requires surgery in an Operating Theater.		
Illness/SeveredArmpits_Name	Severed Armpits		
Illness/ShatteredCheeks_Description	Requires a Fracture Ward.		
Illness/ShatteredCheeks_Name	Shattered Cheeks		
Illness/Shattered_Description	Symptoms include exhaustion, aching, and sometimes all-consuming agony. The cause is unknown, but in 99% of documented cases it occurs shortly after falling off a cliff.		
Illness/Shattered_Name	Shattered		
Illness/SickSense_Description	An uncanny ability to predict the imminent onset of sickness. Caused by Sunday evenings.		
Illness/SickSense_Name	Sick Sense		From "The Sixth Sense."
Illness/SlothSyndrome_Description	Requires a Ward. Takes a long time to treat.		
Illness/SlothSyndrome_Name	Sloth Syndrome		
Illness/Somnambulance_Description	Day dreaming gone bad. Requires a Ward.		
Illness/Somnambulance_Name	Somnambulance		
Illness/SpinalBap_Description	The vertebrae have become engulfed in dough. Can be the result of gardening accidents, but most commonly caused by eating too much bread, often several loaves over the recommended daily amount.		
Illness/SpinalBap_Name	Spinal Bap		From "spinal tap."
Illness/SpontaneousCombustion_Description	The sufferer has a tendency to, without prior warning or reasonable context, break into fits of rage, causing colleagues, passersby and loved ones to cry and/or soil themselves.		
Illness/SpontaneousCombustion_Name	Spontaneous Combustion		
Illness/SpontaneousCustard_Description	Requires an injection.		
Illness/SpontaneousCustard_Name	Spontaneous Custard		
Illness/StomachCake_Description	A dangerous build up of dessert in the stomach, caused by eating pudding before your main meal. Requires surgery to remove the blockage.		
Illness/StomachCake_Name	Stomach Cake		Stomachache + Cake
Illness/SuperbugX01_Description	A test superbug illness that is initially unknown with no cure.		
Illness/SuperbugX01_Name	Superbug X01		
Illness/TempName	New Non Visual Illness		
Illness/TempName Description	New Non Visual Description		
Illness/TouchOfMidas_Description	A genetic condition leading to metallic skin. The mutation has been traced back to the notorious Dr Midas of The Orb Foundation.		
Illness/TouchOfMidas_Name	Touch Of Midas		From Midas of Greek Mythology.
Illness/TromBones_Description	Requires surgery in an Operating Theater.		
Illness/TromBones_Name	Trom Bones		Trombone + Bones
Illness/TurtleHead_Description	Retraction of the head due to an introverted spine. An excessive amount of force must be applied using an anti-turtling device.		
Illness/TurtleHead_Name	Turtle Head		
Illness/TutorialIllness1Temp Name	Verbal D version 0		
Illness/TutorialIllness2Temp Name	Clamp ver 0		
Illness/VerbalDiarrhoea_Description	The disease people can’t stop talking about, Verbal Diarrhoea spreads fast and can be heard for miles.		
Illness/VerbalDiarrhoea_Name	Verbal Diarrhoea		
Illness/VirtualInsanity_Description	Lost in a VR world. Psychiatrist's offer the patient red and blue pills, both of which are placebos.		
Illness/VirtualInsanity_Name	Virtual Insanity		
Illness/WeakBladder_Description	Proximity to dripping taps frequently triggers this illness. Sufferers like to describe themselves as 'toilet enthusiasts', denying that it is a problem.		
Illness/WeakBladder_Name	Weak Bladder		
Inspector/CharacterMood/Environment	Environment		
Inspector/CharacterMood/HappinessAndEnergy	Happiness & Energy		
Inspector/CharacterMood/Temperature	Temperature		
Inspector/CharacterMood/TopComplaint	Top Complaints		
Inspector/CharacterMood/TopPositives	Top Positives		
Inspector/Fully_Diagnosed_CS	Fully Diagnosed		
Inspector/HappinessPerMonth_CS	Happiness p/month		
Inspector/Happiness_CS	Happiness		
Inspector/Patient/DiagnosisCertainty_CS	Diagnosis Certainty:		
Inspector/Patient/IllnessDifficulty_CS	Illness Difficulty:		
Inspector/Patient/StaffSkill_CS	Staff Skill:		
Inspector/Patient/Upgrades_CS	Upgrades:		
Inspector/PatientStatusCalledIntoRoom_CS	Status: Called into Room		
Inspector/PatientStatusDiagnosisInProgress_CS	Status: Diagnosis in Progress		
Inspector/PatientStatusGoingToQueue_CS	Status: Heading for queue		
Inspector/PatientStatusQueuing_CS	Status: Queuing		
Inspector/PatientStatusTreatmentInProgress_CS	Status: Treatment in Progress		
Inspector/PatientStatusWaiting_CS	Status: Waiting		
Inspector/Room/Marketing/CancelCampaign_CS	Cancel Marketing Campaign		
Inspector/Room/Marketing/Marketing_CS	Marketing		
Inspector/Room/Marketing/StartCampaign_CS	Start Marketing Campaign		
Inspector/Room/Optional_CS	Optional		
Inspector/Room/Required_CS	Required		
Inspector/Room/Research/CancelProject_CS	Cancel Research Project		
Inspector/Room/Research/Research_CS	Research		
Inspector/Room/Research/StartProject_CS	Start Research Project		
Inspector/Room/RoomValue_CS	Room Value		
Inspector/Room/TotalRevenue_CS	Total Revenue		
Inspector/Room/Training/AssignedCourse_CS	Course: {[QUALIFICATION]}		
Inspector/Room/Training/AssignedTrainer_CS	Trainer: {[STAFF]}		
Inspector/Room/Training/CancelCourse_CS	Cancel Training Course		
Inspector/Room/Training/NoAssignedCourse_CS	Course: None		
Inspector/Room/Training/StartCourse_CS	Start Training Course		
Inspector/Room/Training/Training_CS	Training		
Inspector/Room/WhoCanUse	Who Can Use?		
Inspector/RoomStats/ExtraStaff	Extra Staff:		
Inspector/RoomValue_CS			
Inspector/Room_PatientsProcessed	Patients Processed		
Inspector/Room_StaffTrained	Staff Trained		
Inspector/Staff/PerAnnum_CS	p.a.		
Inspector/StaffInfo/Duration	Duration:		
Inspector/StaffInfo/Feeling	Feeling:		
Inspector/StaffInfo/Traits	Traits:		
Inspector/StaffStats/AwardsWon	Awards Won		
Inspector/StaffStats/Employment	Employment		
Inspector/StaffStats/Promotions	Promotions		
Inspector/StaffStats/TotalIncome	Income Generated		
Inspector/StaffStats/TotalPaid	Wages Paid		
Inspector/StaffStats/Training	Training		
Inspector/StaffStats_BinsEmptied_CS	Bins & Rubbish Cleared		
Inspector/StaffStats_CheckIns_CS	Check-Ins		
Inspector/StaffStats_CureRate_CS	Cure Rate		
Inspector/StaffStats_CustomerServiceSkill_CS	Customer Service Skill		
Inspector/StaffStats_CustomersServed_CS	Customers Served		
Inspector/StaffStats_Deaths_CS	Deaths		
Inspector/StaffStats_DiagnosisSkill_CS	Diagnosis Skill		
Inspector/StaffStats_FloorsCleaned_CS	Waste Cleaned Up		
Inspector/StaffStats_GhostsCaptured_CS	Ghosts Captured		
Inspector/StaffStats_MachinesRepaired_CS	Machines Repaired		
Inspector/StaffStats_MaintenanceSkill_CS	Maintenance Skill		
Inspector/StaffStats_MarketingCampaigns_CS	Marketing Campaigns		
Inspector/StaffStats_MarketingSkill_CS	Marketing Skill		
Inspector/StaffStats_PatientsCured_CS	Patients Cured		
