ARIAL SDF	Fonts & Materials/ARIAL SDF
Marketing/Illness_Room_Ward_Desc	우리 입원실 침대가 가장 편안하다는 소문을 시작하십시오. 입원 환자 수가 증가하는 것을보기에 충분할 것입니다.
Marketing/Illness_Room_Ward_Name	입원실 캠페인
Marketing/Illness_TurtleHead_Desc	특허받은 Turbo-Plunger의 과학을 설명하는 유익한 비디오를 사용하여 거북머리 환자를 유치하십시오.
Marketing/Illness_TurtleHead_Name	거북머리 캠페인
Marketing/Recruitment_Assistants_Desc	시 경쟁을 통해 사무원를 속여 병원에 지원하도록합니다.
Marketing/Recruitment_Assistants_Name	사무원 캠페인
Marketing/Recruitment_Doctors_Desc	의사 회의 중 하나에서 모든 의사 친구에게 우리 의사에게 좋은 이야기를 하도록 의사에게 돈을 지불하십시오.
Marketing/Recruitment_Doctors_Name	의사 캠페인
Marketing/Recruitment_Janitors_Desc	전문 경기자 및 기타 무시 무시한 관리인이 관리인로 일하도록 유도하는 모집 드라이브.
Marketing/Recruitment_Janitors_Name	관리인 캠페인
Marketing/Recruitment_Nurses_Desc	우리의 모든 훌륭한 간호 기회를 광고하는 Two Point Squabbler에서 스프레드를 지불하십시오.
Marketing/Recruitment_Nurses_Name	간호사 캠페인
Marketing/Recruitment_Qualification_Genetics_Desc	유전학 전문가를 유치하기 위해 카운티에서 가장 유명한 온실에 뉴스 레터를 보냅니다. 식물은 사람과 그렇게 다를 수 없습니다.
Marketing/Recruitment_Qualification_Genetics_Name	유전학 캠페인
Marketing/Recruitment_Qualification_GhostCapture_Desc	Harrison Wolff의 'Paranormally Proactive'이니셔티브에 기부하면 그가 알고있는 자격을 갖춘 유령 사냥꾼들과 좋은 말을할 것입니다.
Marketing/Recruitment_Qualification_GhostCapture_Name	유령 포획 캠페인
Marketing/Recruitment_Qualification_Marketing_Desc	우리는 고급 마케팅 기술의 미묘한 사용으로 동료 마케팅 담당자에게 깊은 인상을 줄 수 있어야합니다. 광고용 소형 연식 비행선을 대여하면 탑승할 수 있습니다.
Marketing/Recruitment_Qualification_Marketing_Name	마케팅 캠페인
Marketing/Recruitment_Qualification_Mechanics_Desc	자격을 갖춘 정비사를 유치하기 위해 카운티 최고의 엔지니어링 사설 인 Nuts About Bolts에 광고를 게재하십시오.
Marketing/Recruitment_Qualification_Mechanics_Name	기계공학 캠페인
Marketing/Recruitment_Qualification_Psychiatry_Desc	정신과 의사의 의사에 반하여 병원 입사 지원을 장려하는 잠재 의식 광고 캠페인.
Marketing/Recruitment_Qualification_Psychiatry_Name	정신과 의사 캠페인
Marketing/Recruitment_Qualification_Radiology_Desc	이달의 '전 벙글 직원 지원 그룹'뉴스 레터에 광고를 게재하고 자격을 갖춘 방사선 전문의가 일자리를 찾고 있는지 알아보십시오.
Marketing/Recruitment_Qualification_Radiology_Name	방사선과 캠페인
Marketing/Recruitment_Qualification_Research_Desc	연구에 관심이있는 미친 과학자 유형을 유치하기 위한 모집 추진.
Marketing/Recruitment_Qualification_Research_Name	연구원 캠페인
Marketing/Recruitment_Qualification_Surgery_Desc	투 포인트 카운티 주변의 정육점과 델리에 포스터를 올려 직장 외과의를 유인하십시오.
Marketing/Recruitment_Qualification_Surgery_Name	외과 의사 캠페인
Menu/BuildRoom_Cancel	시설 취소
Menu/BuildRoom_CancelMessage	이 시설 편집을 중지 하시겠습니까?
Menu/BuildRoom_FixInvalidItems_CS	잘못된 항목 수정
Menu/BuildRoom_MinimumRoomSize_CS	최소 시설 크기 ({[X]} x {[Y]})
Menu/BuildRoom_PlaceItem_CS	장소 {[ITEM]}
Menu/BuildRoom_RoomPrestige_CS	레벨 {[Level]}
Menu/BuildRoom_Unaffordable_CS	감당 불가
Menu/CareerStats/Balance_CS	밸런스
Menu/CareerStats/CureRate_CS	치료율
Menu/CareerStats/CuresPerYear_CS	연간 치료
Menu/CareerStats/FoundationValue_CS	기초 가치
Menu/CareerStats/HospitalLevel_CS	병원 레벨
Menu/CareerStats/HospitalValue_CS	병원 가치
Menu/CareerStats/KudoshEarned_CS	Kudosh 획득
Menu/CareerStats/Reputation_CS	평판
Menu/CareerStats/SharePrice_CS	주가
Menu/CareerStats/StaffCount_CS	직원 수
Menu/CareerStats/StaffMorale_CS	직원 사기
Menu/CareerStats/Stars_CS	별
Menu/CareerStats/YearlyIncome_CS	연수입
Menu/CashFlow/Expenses_CS	경비
Menu/CashFlow/LastMonthsIncome_CS	지난달 수입
Menu/CashFlow/Revenue_CS	수익
Menu/DLC_4/Select_BuyEnergyPlot_CS	그린 에너지 장비 구매
Menu/DLC_4/Select_EnergyPlot_CS	그린 에너지 장비
Menu/FancyLetter/Closing	항상 감사하십시오.
Menu/FancyLetter/Dear	병원 관리자님께,
Menu/FancyLetter/Signature	Tarquin Foxbridge\n보건부 장관
Menu/GeneralNotification/ButtonInfo	정보
Menu/GeneralNotification/ButtonLog	기록
Menu/GeneralNotification/ButtonMood	기분
Menu/GeneralNotification/ButtonPlay	플레이
Menu/GeneralNotification/ButtonQueue	열
Menu/GeneralNotification/ButtonScores	점수
Menu/GeneralNotification/ButtonStats	통계
Menu/GeneralNotification/Challenges_CS	당면 과제 : {0}
Menu/GeneralNotification/Classified	이 라이벌의 도전 데이터는 기밀입니다!
Menu/GeneralNotification/GatheringInfo	우리는 현재이 라이벌의 도전에 대한 정보를 수집했습니다.
Menu/GeneralNotification/Kicked	킥
Menu/GeneralNotification/NoConnection	이 경쟁자에 대한 정보가 없으며 온라인 서비스에 연결되어 있지 않습니다. \
Menu/GeneralNotification/Objectives	목표
Menu/GeneralNotification/RivalNotYetAttempted	이 라이벌은 아직이 도전을 시도하지 않았습니다!
Menu/GeneralNotification/Select	라이벌 선택
Menu/HoverMenu/Room/Maintenance	Menu/HoverMenu/Room/Maintenance
Menu/HoverMenu/Room/Upgrade	업그레이드
Menu/Hover_Ghost_Name_CS	{[NAME]} (애도)
Menu/Hover_HospitalPlot_DaysLeft_CS	남은 일수 : {[DAYS]}
Menu/Hover_Marketing_LaunchCampaign_CS	클릭해서 마케팅 캠페인 시작
Menu/Hover_Marketing_TimeLeft_CS	{[ELAPSED]}/{[DURATION]} 개월
Menu/Hover_Patient_IllnessCured_CS	치료됨
Menu/Hover_Patient_IllnessTreatmentFailed_CS	치료 실패
Menu/Hover_Research_ProjectName_CS	프로젝트 : {[NAME]}
Menu/Hover_Research_StartProject_CS	클릭해서 프로젝트 시작
Menu/Hover_RoomItem_JanitorAssigned_CS	관리인 할당됨 : {[STAFF]}
Menu/Hover_RoomItem_JanitorQualificationRequired_CS	{[QUALIFICATION]}의 관리인이 필요합니다!
Menu/Hover_RoomItem_JanitorRequired_CS	관리인이 필요합니다!
Menu/Hover_Room_Closed_CS	닫힘
Menu/Hover_Room_Prestige_CS	평판 수준 : {[LEVEL]}
Menu/Hover_Room_QueueLength_CS	대기열 길이 : {[LENGTH]}
Menu/Hover_Room_StaffList_CS	직원:
Menu/Hover_Room_StaffRequired_CS	필요한 직원 :
Menu/Hover_Training_StartCourse_CS	교육 과정 시작
Menu/HubMenu/Hires	고용
Menu/HubMenu/Illnesses	질병
Menu/HubMenu/Items	비품
Menu/HubMenu/Rooms	시설
Menu/HubMenu/StaffJobs	직원 채용
Menu/HubMenu/StaffPay	직원 급여
Menu/HubMenu/Visualisations/Tooltips/Attractiveness	매력
Menu/HubMenu/Visualisations/Tooltips/Boredom	지루함
Menu/HubMenu/Visualisations/Tooltips/Health	건강
Menu/HubMenu/Visualisations/Tooltips/Hunger	굶주림
Menu/HubMenu/Visualisations/Tooltips/Hygiene	위생
Menu/HubMenu/Visualisations/Tooltips/Maintenance	유지 관리
Menu/HubMenu/Visualisations/Tooltips/PatientHappiness	환자의 행복
Menu/HubMenu/Visualisations/Tooltips/StaffEnergy	직원 에너지
Menu/HubMenu/Visualisations/Tooltips/StaffHappiness	직원 행복
Menu/HubMenu/Visualisations/Tooltips/Temperature	온도
Menu/HubMenu/Visualisations/Tooltips/Thirst	목마름
Menu/HubMenu/Visualisations/Tooltips/Toilet	화장실
Menu/Illness/Illness	질병
Menu/Illness/TreatmentCost	치료 비용
Menu/Illness/TreatmentRoom	시설
Menu/Inbox/ArchiveButton	아카이브
Menu/Inbox/InboxButton	받은 편지함
Menu/InputActions/Accept	수락/선택
Menu/InputActions/BuildAddMode	평면도에 추가
Menu/InputActions/BuildSubMode	평면도에서 제거
Menu/InputActions/CameraPanDown	카메라 아래로 이동
Menu/InputActions/CameraPanLeft	카메라를 왼쪽으로 이동
Menu/InputActions/CameraPanRight	카메라 오른쪽으로 이동
Menu/InputActions/CameraPanUp	카메라 위로 이동
Menu/InputActions/CameraPitchDown	카메라 아래로 피치
Menu/InputActions/CameraPitchUp	피치 카메라 업
Menu/InputActions/CameraRotateAntiClockwise	카메라를 시계 반대 방향으로 회전
Menu/InputActions/CameraRotateClockwise	카메라를 시계 방향으로 회전
Menu/InputActions/CameraZoomIn	카메라 확대
Menu/InputActions/CameraZoomOut	축소 카메라
Menu/InputActions/Cancel	취소
Menu/InputActions/DeleteItem	항목 삭제
Menu/InputActions/DisableSnap	그리드에 항목 스냅 비활성화
Menu/InputActions/OpenOverviewFinance	재무 개요 열기
Menu/InputActions/OpenOverviewPatient	환자 개요 열기
Menu/InputActions/OpenOverviewStaff	직원 개요 열기
Menu/InputActions/QuickLoad	빠른 불러오기
Menu/InputActions/QuickSave	빠른 저장
Menu/InputActions/RotateItemAntiClockwise	반 시계 방향으로 항목 회전
Menu/InputActions/RotateItemClockwise	항목을 시계 방향으로 회전
Menu/InputActions/SkipToNextSong	다음 노래로 건너뛰기
Menu/InputActions/TimeSlowDown	감속 시간
Menu/InputActions/TimeSpeedUp	시간 가속화
Menu/InputActions/ToggleIllnessList	질병 목록 전환
Menu/InputActions/TogglePatientList	환자 목록 전환
Menu/InputActions/TogglePause	일시 중지 전환
Menu/InputActions/ToggleStaffList	직원 목록 전환
Menu/InputActions/ToggleVisualAttractiveness	매력 데이터보기 전환
Menu/InputActions/ToggleVisualBoredom	지루함 데이터보기 전환
Menu/InputActions/ToggleVisualHunger	배고픔 데이터보기 전환
Menu/InputActions/ToggleVisualHygiene	위생 데이터보기 전환
Menu/InputActions/ToggleVisualMaintenance	유지 관리 데이터보기 전환
Menu/InputActions/ToggleVisualPatientHappiness	환자 행복 데이터보기 전환
Menu/InputActions/ToggleVisualPatientHealth	환자 건강 데이터보기 전환
Menu/InputActions/ToggleVisualStaffEnergy	직원 에너지 데이터보기 전환
Menu/InputActions/ToggleVisualStaffHappiness	직원 행복 데이터보기 전환
Menu/InputActions/ToggleVisualTemperature	온도 데이터보기 전환
Menu/InputActions/ToggleVisualThirst	목마름 데이터보기 전환
Menu/InputActions/ToggleVisualToilet	화장실 필요 데이터보기 전환
Menu/Inspector/ButtonClose_CS	닫기
Menu/Inspector/ButtonCopy_CS	복사
Menu/Inspector/ButtonEdit_CS	편집
Menu/Inspector/ButtonInfo_CS	정보
Menu/Inspector/ButtonJobPriorityHigh_CS	높음
Menu/Inspector/ButtonJobPriorityHigher_CS	이 시설에서 작업을 우선 순위로 지정
Menu/Inspector/ButtonJobPriorityLow_CS	낮음
Menu/Inspector/ButtonJobPriorityLower_CS	이 시설의 작업을 기본 우선 순위로 되돌립니다.
Menu/Inspector/ButtonLog_CS	기록
Menu/Inspector/ButtonMood_CS	기분
Menu/Inspector/ButtonObjects_CS	비품
Menu/Inspector/ButtonOpen_CS	열기
Menu/Inspector/ButtonQueue_CS	열
Menu/Inspector/ButtonRoomCustomisation	커스터마이즈
Menu/Inspector/ButtonSell_CS	팔기
Menu/Inspector/ButtonStats_CS	통계
Menu/Inspector/ButtonTemplates_CS	템플릿
Menu/Inspector/GaveUpWaitingForFurtherDiagnosis_CS	추가 진단을 기다리는 것을 포기
Menu/Inspector/Patient/Appointment_CS	약속
Menu/Inspector/Patient/ChanceOfSuccess_CS	성공 확률 : {[VALUE]}
Menu/Inspector/Patient/DaysSinceArrival_CS	도착 후 {[DAYS]} 일[i2p_One]도착 후 {[DAYS]} 일
Menu/Inspector/Patient/EstimatedChanceMinMax_CS	예상 치료 확률 : {[MIN]}-{[MAX]}
Menu/Inspector/Patient/EstimatedChanceValue_CS	예상 치료 확률 : {[VALUE]}
Menu/Inspector/Patient/GaveUpWaiting_CS	{[ROOM]} 기다리기 포기
Menu/Inspector/Patient/HappinessReachedZero_CS	행복이 제로에 도달
Menu/Inspector/Patient/TopComplaints_CS	최고 불만
Menu/Inspector/Patient/WillLeaveSoon_CS	곧 떠날 것입니다
Menu/Inspector/Patient/WillingToWait_CS	{[SECONDS]} 초 기다림
Menu/Inspector/RoomTemplates_Delete_Tooltip	지우기
Menu/Inspector/RoomTemplates_Overwrite_Tooltip	덮어쓰기
Menu/Inspector/RoomTemplates_Rename_Tooltip	이름 바꾸기
Menu/Inspector/RoomTemplates_SaveNewTemplate_CS	새 템플릿 저장
Menu/ItemInvalid_DoorExitNotToHospital_CS	문은 복도에서\n시설로 이어져야 합니다
Menu/ItemInvalid_InvalidCornerLocation_CS	잘못된 모서리 위치
Menu/ItemInvalid_InvalidItemForRoom_CS	시설에 대한 잘못된 비품
Menu/ItemInvalid_InvalidNavigation_CS	도달할 수 없음
Menu/ItemInvalid_InvalidStartLocations_CS	잘못된 시작 위치
Menu/ItemInvalid_InvalidWallLocation_CS	잘못된 벽 위치
Menu/ItemInvalid_NeighbouringWindowAtLocation_CS	위치의 주변 창
Menu/ItemInvalid_ServingHatchAtLocation_CS	위치의 접수처 포드
Menu/ItemInvalid_ServingHatchNotExitToHospital_CS	접수처 포드는 복도를 향하지 않습니다.
Menu/ItemInvalid_Unaffordable_CS	항목을 감당할 수 없습니다
Menu/ItemInvalid_UnreachableInteractionPoints_CS	도달할 수없는 상호 작용 지점
Menu/ItemInvalid_WindowNotIntoHospital_CS	창문이 병원을 들여다 보지 않습니다.
Menu/Leaderboards/RemixBadges	R.E.M.I. X
Menu/Loading...	불러오는 중...
Menu/Loans/CompanyName_SmellMyCash	내 현금 냄새
Menu/Loans/CompanyName_Swindles	사기꾼들
Menu/Loans/CompanyName_TwoPointBank	투 포인트 은행
Menu/Loans/LoanAmount_CS	{[AMOUNT]} @ {[APR]} pa
Menu/Loans/LoanCompany	대출 회사
Menu/Loans/LoanExempt	대출 면제
Menu/Loans/LoanRepaymentDetail_CS	{[MONTHS]} 개월 동안 매월 {[AMOUNT]}
Menu/Loans/RepayLoan	대출 상환
Menu/Loans/RequiresBalance_CS	잔액 {[VALUE]} 필요
Menu/Loans/RequiresHospitalLevel_CS	병원 레벨 {[VALUE]} 필요
Menu/Loans/RequiresHospitalValue_CS	{[VALUE]}의 병원 가치가 필요합니다.
Menu/Loans/RequiresReputation_CS	평판 {[VALUE]} 필요
Menu/Loans/TakeLoan	대출 받기
Menu/Loans/TermsConditions	이용 약관
Menu/Marketing/ButtonLaunchCampaign	캠페인 시작
Menu/Marketing/CampaignCost_CS	캠페인 비용
Menu/Marketing/CampaignName	캠페인 이름
Menu/Marketing/Duration_CS	기간 : {[MONTHS]} 개월
Menu/Marketing/GeneralMarketing	일반\n마케팅
Menu/Marketing/IllnessMarketing	질병\n마케팅
Menu/Marketing/MarketingCampaigns	마케팅 캠페인
Menu/Marketing/RecruitmentMarketing	모집\n마케팅
Menu/Marketing/StartACampaign	마케팅 캠페인 시작
Menu/Message/Career_Delete_Save_Failed_Access_Denied_Body_CS	파일에 대한 액세스가 거부 되었기 때문에 커리어 저장을 삭제하지 못했습니다.\n\n여러 가지 이유가 있습니다. OS 또는 사용자 프로필이 손상되었을 수 있습니다. 다른 프로그램 또는 바이러스 백신이 방해했습니다. 또는 파일을 직접 수정했습니다.\n\n이 문제를 해결하는 데 도움이 필요하면 support.sega.co.uk로 이동하십시오.
Menu/Message/Career_Delete_Save_Failed_Access_Denied_Title_CS	커리어 저장 삭제 실패
Menu/Message/Career_Delete_Save_Failed_General_Body_CS	커리어 저장을 삭제하지 못했습니다.\n\n개발자를 비난하고 싶은 유혹을 느낄 수 있으며 그래야합니다. 이것은 발생하지 않아야하며\n아마도 우리 잘못입니다.\n\n정말 죄송합니다.\n\n지원을 받고 문제를보고하려면 support.sega.co.uk로 이동하세요.
